Instance,CPU,z*
abs1n5.dat,0,3335.23999
abs2n5.dat,0,2722.32999
abs3n5.dat,0,4776
abs4n5.dat,0,3246.66
abs5n5.dat,0,2419.67
abs1n10.dat,7,4499.24999
abs2n10.dat,4,5236.97998
abs3n10.dat,3,4652.52979
abs4n10.dat,7,5104.90999
abs5n10.dat,4,4670.75999
abs1n15.dat,39,5462.67998
abs2n15.dat,22,5494.73998
abs3n15.dat,25,6060.37998
abs4n15.dat,22,5504.64999
abs5n15.dat,38,5309.47999
abs1n20.dat,1830,6490.17998
abs2n20.dat,282,6082.53998
abs3n20.dat,104,6950.19998
abs4n20.dat,255,7432.77998
abs5n20.dat,319,7210.72998
abs1n25.dat,548,7095.85998
abs2n25.dat,1710,7484.83998
abs3n25.dat,503,7728.75998
abs4n25.dat,206,7509.01998
abs5n25.dat,2348,7452.27997
abs1n30.dat,4541,8319.58997
abs2n30.dat,4288,7761.52997
abs3n30.dat,1620,8214.54997
abs4n30.dat,1305,7574.79998
abs5n30.dat,4326,7366.46997
