Instance,CPU,z*
abs1n5.dat,0,2149.80003
abs2n5.dat,0,1959.05003
abs3n5.dat,0,3265.44004
abs4n5.dat,0,2034.43994
abs5n5.dat,0,2362.16004
abs1n10.dat,0,4970.62009
abs2n10.dat,0,4803.17009
abs3n10.dat,0,4289.83984
abs4n10.dat,0,4347.06006
abs5n10.dat,0,5041.62008
abs1n15.dat,0,5713.83984
abs2n15.dat,1,5821.04012
abs3n15.dat,4,6711.25014
abs4n15.dat,1,5227.56009
abs5n15.dat,3,5210.85009
abs1n20.dat,10,7353.82016
abs2n20.dat,8,7385.03015
abs3n20.dat,5,7903.97018
abs4n20.dat,4,7050.91013
abs5n20.dat,11,8405.83014
abs1n25.dat,14,8657.70018
abs2n25.dat,47,9266.8702
abs3n25.dat,18,9843.59961
abs4n25.dat,9,8677.86018
abs5n25.dat,34,10857.67969
abs1n30.dat,164,12635.55028
abs2n30.dat,130,11351.36026
abs3n30.dat,60,12509.26029
abs4n30.dat,96,9928.35022
abs5n30.dat,58,10178.6302
abs1n35.dat,199,11984.69027
abs2n35.dat,97,10706.91024
abs3n35.dat,330,14411.58033
abs4n35.dat,454,10844.98024
abs5n35.dat,105,11195.87024
abs1n40.dat,1003,14006.57031
abs2n40.dat,449,11722.58026
abs3n40.dat,865,14107.14032
abs4n40.dat,270,11684.43027
abs5n40.dat,221,13536.57029
abs1n45.dat,1205,14661.20035
abs2n45.dat,553,13675.96031
abs3n45.dat,697,15316.57035
abs4n45.dat,2369,14096.84033
abs5n45.dat,1124,13838.54033
abs1n50.dat,2326,15235.83033
abs2n50.dat,1782,15453.78035
abs3n50.dat,1992,15747.73036
abs4n50.dat,6358,17163.52043
abs5n50.dat,1756,16143.06037
